City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Lakota,CI,2022-07-05 18:48:57,5.8528,-5.6883,71.94,98,76,3.56
273,Humaita,BR,2022-07-05 18:48:58,-7.5061,-63.0208,85.82,58,100,0.89
274,Ostrov,RU,2022-07-05 18:48:58,57.3439,28.3537,69.53,72,69,3.27
275,Pemba,MZ,2022-07-05 18:48:58,-12.974,40.5178,75.74,70,98,15.03
276,Simoes,BR,2022-07-05 18:48:59,-7.5989,-40.8178,82.54,41,0,11.14
277,Orbetello,IT,2022-07-05 18:48:59,42.4408,11.2196,87.82,47,0,4.61
278,Lock Haven,US,2022-07-05 18:48:59,41.137,-77.4469,78.98,73,100,9.13
279,Elizabeth City,US,2022-07-05 18:44:10,36.2946,-76.2511,91.42,59,20,11.5
280,Eyl,SO,2022-07-05 18:48:59,7.9803,49.8164,77.14,77,93,31.45
281,Bitlis,TR,2022-07-05 18:50:00,38.5,42.25,58.64,50,0,5.23
282,Esil,KZ,2022-07-05 18:50:00,51.9556,66.4042,52.3,90,26,7.85
283,West Bay,KY,2022-07-05 18:50:00,19.3667,-81.4167,88.07,73,20,8.05
284,Santiago Del Estero,AR,2022-07-05 18:49:10,-27.7951,-64.2615,66.54,48,100,1.77
285,Igunga,TZ,2022-07-05 18:50:01,-4.2833,33.8833,69.96,33,1,2.8
286,Bathsheba,BB,2022-07-05 18:50:01,13.2167,-59.5167,84.81,83,20,18.41
287,Riyadh,SA,2022-07-05 18:50:01,24.6877,46.7219,96.94,10,11,10.65
288,Trairi,BR,2022-07-05 18:49:13,-3.2778,-39.2689,78.31,68,91,11.05
289,Angoche,MZ,2022-07-05 18:50:02,-16.2325,39.9086,71.83,73,0,7.85
290,Puri,IN,2022-07-05 18:50:03,19.8,85.85,79.32,83,100,11.03
